DATE,USD.EUR,USD.GBP,USD.CNY,USD.JPY
1/19/2014,0.734932,0.609538,6.09223,104.138
1/26/2014,0.734556,0.605925,6.10072,103.533
2/2/2014,0.735954,0.605761,6.10551,102.437
2/9/2014,0.737272,0.611449,6.10367,101.86
2/16/2014,0.732067,0.602716,6.10113,102.118
2/23/2014,0.728338,0.599821,6.1124,102.27
3/2/2014,0.727329,0.599056,6.12773,102.117
3/9/2014,0.724339,0.598389,6.1272,102.548
3/16/2014,0.719875,0.600848,6.14124,102.286
3/23/2014,0.722278,0.604218,6.15286,102.003
3/30/2014,0.725843,0.603241,6.15728,102.432
4/6/2014,0.727609,0.601969,6.17227,103.49
4/13/2014,0.72304,0.598193,6.16779,102.027
4/20/2014,0.723573,0.596294,6.1746,102.157
4/27/2014,0.72348,0.595138,6.17521,102.373
5/4/2014,0.721638,0.593298,6.16306,102.336
5/11/2014,0.722152,0.591588,6.15632,101.822
5/18/2014,0.729125,0.594504,6.16706,101.792
5/25/2014,0.731682,0.593657,6.16889,101.628
6/1/2014,0.73389,0.596207,6.17258,101.801
6/8/2014,0.733887,0.596179,6.16757,102.436
6/15/2014,0.7376,0.592849,6.14838,102.141
6/22/2014,0.736253,0.58832,6.16107,102.014
6/29/2014,0.734077,0.587689,6.16031,101.699
7/6/2014,0.733444,0.583527,6.17023,101.817
7/13/2014,0.734822,0.583896,6.16971,101.533
7/20/2014,0.737932,0.584586,6.17412,101.465
7/27/2014,0.742598,0.587496,6.16265,101.621
8/3/2014,0.745333,0.591856,6.16699,102.431
8/10/2014,0.746533,0.594455,6.16152,102.252
8/17/2014,0.747285,0.597851,6.15343,102.346
8/24/2014,0.75238,0.601729,6.15698,103.416
8/31/2014,0.75922,0.603013,6.15974,103.974
9/7/2014,0.766558,0.608628,6.16093,104.917
9/14/2014,0.773097,0.61729,6.14978,106.701
9/21/2014,0.775533,0.613748,6.15035,108.207
9/28/2014,0.783163,0.612936,6.14365,109.008
10/5/2014,0.793449,0.62037,6.15143,109.414
10/12/2014,0.790932,0.62192,6.13701,108.182
10/19/2014,0.785035,0.623392,6.13897,106.776
10/26/2014,0.78754,0.621539,6.13931,107.546
11/2/2014,0.792221,0.623126,6.13709,109.82
11/9/2014,0.801779,0.628022,6.1442,114.282
11/16/2014,0.801559,0.634171,6.14243,115.659
11/23/2014,0.801488,0.638513,6.14052,117.441
11/30/2014,0.802993,0.637196,6.1365,118.14
12/7/2014,0.809204,0.639156,6.13673,120.01
12/14/2014,0.806373,0.637578,6.12907,119.287
12/21/2014,0.809979,0.638657,6.13183,118.531
12/28/2014,0.819689,0.642512,6.14078,120.287
1/4/2015,0.827105,0.645949,6.14578,120.168
1/11/2015,0.843138,0.659557,6.13252,119.17
1/18/2015,0.854986,0.659232,6.12485,117.581
1/25/2015,0.875187,0.663474,6.13946,117.915
2/1/2015,0.885525,0.66262,6.16071,117.824
2/8/2015,0.879434,0.658339,6.15404,117.988
2/15/2015,0.880597,0.652936,6.14374,119.086
2/22/2015,0.878603,0.649437,6.14859,118.869
3/1/2015,0.886669,0.647368,6.15599,119.232
3/8/2015,0.906712,0.656736,6.15727,120.179
3/15/2015,0.940915,0.670254,6.1599,121.319
3/22/2015,0.935189,0.673751,6.13368,120.732
3/29/2015,0.916653,0.671626,6.12416,119.382
4/5/2015,0.920258,0.673161,6.11217,119.511
4/12/2015,0.930039,0.676828,6.11113,120.004
4/19/2015,0.934408,0.673943,6.10762,119.337
4/26/2015,0.926363,0.66457,6.10536,119.324
5/3/2015,0.902357,0.655567,6.1029,119.489
5/10/2015,0.891461,0.653975,6.1032,119.844
5/17/2015,0.88259,0.637682,6.09551,119.552
5/24/2015,0.897709,0.642303,6.09948,120.877
5/31/2015,0.913196,0.651267,6.10708,123.355
6/7/2015,0.899485,0.65399,6.11217,124.778
6/14/2015,0.888364,0.646946,6.11629,123.799
6/21/2015,0.88409,0.634363,6.10934,123.138
6/28/2015,0.891411,0.634562,6.10653,123.668
7/5/2015,0.899968,0.639484,6.10727,122.808
7/12/2015,0.902594,0.646022,6.10954,122.24
7/19/2015,0.914793,0.641447,6.10753,123.742
7/26/2015,0.914693,0.643077,6.10471,123.958
8/2/2015,0.908425,0.641086,6.16474,123.788
8/9/2015,0.914245,0.643124,6.20968,124.344
8/16/2015,0.902003,0.640995,6.35952,124.474
8/23/2015,0.892694,0.638202,6.39271,123.384
8/30/2015,0.882143,0.6439,6.40027,120.571
9/6/2015,0.893243,0.654852,6.36148,119.894
9/13/2015,0.889383,0.6503,6.3733,120.281
9/20/2015,0.883583,0.645686,6.36671,120.172
9/27/2015,0.893306,0.653638,6.37616,120.308
10/4/2015,0.89225,0.659304,6.35913,119.937
10/11/2015,0.886095,0.654545,6.35117,120.149
10/18/2015,0.878686,0.649435,6.34487,119.445
10/25/2015,0.892727,0.649338,6.35245,120.402
11/1/2015,0.908152,0.651403,6.34492,120.717
11/8/2015,0.919692,0.654688,6.34489,121.831
11/15/2015,0.929663,0.658728,6.36815,122.905
11/22/2015,0.936829,0.657073,6.3813,123.023
11/29/2015,0.942104,0.662797,6.39043,122.72
12/6/2015,0.931822,0.663745,6.39932,123.05
12/13/2015,0.914231,0.660554,6.4306,121.996
12/20/2015,0.917166,0.666844,6.47296,121.521
12/27/2015,0.914178,0.671224,6.47287,120.669
1/3/2016,0.916539,0.675602,6.49463,120.326
1/10/2016,0.92134,0.684232,6.5642,118.266
1/17/2016,0.918426,0.694795,6.57399,117.49
1/24/2016,0.920879,0.70253,6.57814,117.798
1/31/2016,0.921043,0.700475,6.58143,119.509
2/7/2016,0.904865,0.690955,6.57629,118.448
2/14/2016,0.888828,0.690502,6.56984,113.981
2/21/2016,0.897534,0.695746,6.52255,113.451
2/28/2016,0.909115,0.715028,6.52941,112.933
3/6/2016,0.914927,0.710413,6.54458,113.614
3/13/2016,0.903649,0.700411,6.50123,113.429
3/20/2016,0.892378,0.696732,6.48798,112.403
3/27/2016,0.893305,0.704235,6.5072,112.557
4/3/2016,0.883582,0.700203,6.47785,112.474
4/10/2016,0.878149,0.706952,6.47136,109.394
4/17/2016,0.883314,0.704124,6.47327,108.757
4/24/2016,0.88595,0.696943,6.48244,110.069
5/1/2016,0.880755,0.68638,6.48501,108.961
5/8/2016,0.872956,0.688921,6.49131,106.85
5/15/2016,0.88007,0.693993,6.51853,108.644
5/22/2016,0.888456,0.689616,6.53826,109.696
5/29/2016,0.896054,0.684351,6.55903,109.945
6/5/2016,0.891212,0.688984,6.57749,108.888
6/12/2016,0.883289,0.693851,6.56517,107.02
6/19/2016,0.888511,0.702254,6.58856,105.072
6/26/2016,0.890283,0.700412,6.59485,103.706
7/3/2016,0.901414,0.750725,6.64909,102.478
7/10/2016,0.902355,0.767773,6.68148,101.169
7/17/2016,0.903328,0.758641,6.6888,104.354
7/24/2016,0.907895,0.759528,6.6842,106.141
7/31/2016,0.90306,0.759101,6.66029,104.118
8/7/2016,0.897564,0.758541,6.64342,101.644
8/14/2016,0.897717,0.770299,6.64481,101.658
8/21/2016,0.886274,0.767103,6.63962,100.413
8/28/2016,0.887732,0.759676,6.66137,100.848
9/4/2016,0.895612,0.757719,6.67971,103.233
9/11/2016,0.890964,0.75092,6.67708,102.561
9/18/2016,0.892087,0.759606,6.67535,102.275
9/25/2016,0.893146,0.768904,6.6716,101.24
10/2/2016,0.890516,0.770201,6.66973,100.986
10/9/2016,0.89328,0.791936,6.67185,102.856
10/16/2016,0.905686,0.81677,6.72032,103.859
10/23/2016,0.913978,0.817025,6.74872,103.834
10/30/2016,0.915408,0.819852,6.77719,104.588
11/6/2016,0.902895,0.808371,6.76432,103.647
11/13/2016,0.91303,0.800119,6.79745,105.561
11/20/2016,0.936851,0.80503,6.86877,109.547
11/27/2016,0.943893,0.803547,6.91041,112.283
12/4/2016,0.940032,0.795168,6.88979,113.281
12/11/2016,0.938872,0.791554,6.93141,114.397
12/18/2016,0.950478,0.796572,6.93042,116.796
12/25/2016,0.958288,0.810481,6.94908,117.469
1/1/2017,0.954067,0.813594,6.94929,117.1
1/8/2017,0.951493,0.812388,6.9282,116.968
1/15/2017,0.943352,0.820854,6.91781,115.287
