"","A1","A2","A3","B1","B2","B3","C","D"
"A1",-0.08179,0.07493,0.00515,0.00114404022385915,0.000572020111929575,0,0,0
"A2",0.00663,-0.093,0.08159,0.00361106546371299,0.000585578183304809,0.000487981819420674,9.75963638841349e-05,0
"A3",6e-04,0.02029,-0.08697,0.0615488360753306,0.00321930968833733,0.0012004205617529,0.000109129141977537,0
"B1",0.00035,0.002,0.04178,-0.110345216529572,0.0588046608464803,0.00615719390039617,0.000622637585433321,0.000622637585433321
"B2",0.00029,0.00088,0.00441,0.0534942615312562,-0.176844582534647,0.108360170794083,0.00666228898191469,0.00274329546314134
"B3",0,0.00076,0.00229,0.00343192628444715,0.0531948574089309,-0.190567240072496,0.102671794676377,0.0282180605610099
"C",0.000815871122518043,0,0.00408,0.0057110978576263,0.0138698090828067,0.134618735215477,-0.828109189355814,0.669014320464795
"D",0,0,0,0,0,0,0,0
